,tract,COMM,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
958,06037240402,Vermont Vista,40903.0,1171.0,3856.0,2382.0,1474.0,1369.0,47.0,1248.0,4.0,46.0
896,06037234302,Leimert Park,40857.0,1340.0,2597.0,286.0,2311.0,2156.0,98.0,1991.0,7.0,25.0
504,06037190202,Hollywood,40723.0,2286.0,3568.0,697.0,2871.0,2651.0,1854.0,369.0,17.0,354.0
145,06037117408,North Hills,40718.0,735.0,2843.0,2188.0,655.0,618.0,193.0,150.0,7.0,229.0
673,06037208801,Westlake,40704.0,1337.0,3566.0,1921.0,1645.0,1559.0,369.0,409.0,12.0,722.0
236,06037124902,Valley Village,40668.0,1543.0,2893.0,731.0,2162.0,2041.0,1572.0,201.0,7.0,239.0
341,06037134522,Canoga Park,40560.0,1518.0,4015.0,2869.0,1146.0,1063.0,529.0,140.0,12.0,364.0
608,06037203500,Boyle Heights,40524.0,981.0,2751.0,2240.0,511.0,481.0,140.0,48.0,6.0,281.0
609,06037203500,Wholesale District,40524.0,981.0,2751.0,2240.0,511.0,481.0,140.0,48.0,6.0,281.0
626,06037204910,Boyle Heights,40313.0,968.0,3184.0,3007.0,177.0,154.0,72.0,41.0,0.0,26.0
941,06037239330,Florence-Firestone,40293.0,705.0,2979.0,2619.0,360.0,320.0,30.0,259.0,2.0,5.0
1159,06037296210,San Pedro,40282.0,1113.0,2976.0,2419.0,557.0,506.0,231.0,211.0,7.0,40.0
143,06037117405,North Hills,40202.0,873.0,3364.0,2919.0,445.0,416.0,147.0,164.0,4.0,80.0
316,06037132502,Reseda,40179.0,1249.0,4252.0,1811.0,2441.0,2275.0,1527.0,143.0,8.0,553.0
877,06037231902,South Park,40125.0,761.0,3166.0,2570.0,596.0,557.0,58.0,456.0,5.0,14.0
1143,06037294120,Wilmington,39984.0,629.0,2324.0,2102.0,222.0,196.0,31.0,109.0,1.0,48.0
169,06037120104,Panorama City,39922.0,773.0,2327.0,1468.0,859.0,841.0,223.0,167.0,12.0,419.0
707,06037211704,Wilshire Center,39875.0,1653.0,2941.0,678.0,2263.0,2173.0,449.0,163.0,10.0,1542.0
636,06037206054,Wholesale District,39647.0,621.0,2670.0,2144.0,526.0,502.0,51.0,27.0,0.0,418.0
333,06037134305,Canoga Park,39506.0,1227.0,3769.0,3024.0,745.0,702.0,272.0,132.0,4.0,264.0
515,06037190901,Hollywood,39435.0,1336.0,4016.0,3024.0,992.0,919.0,604.0,168.0,8.0,120.0
674,06037208802,Westlake,39400.0,1478.0,2942.0,1663.0,1279.0,1187.0,392.0,242.0,9.0,525.0
339,06037134520,Canoga Park,39397.0,1936.0,5601.0,3958.0,1643.0,1504.0,750.0,189.0,4.0,497.0
144,06037117407,North Hills,39397.0,992.0,3482.0,3173.0,309.0,288.0,70.0,86.0,5.0,97.0
964,06037240902,Century Palms/Cove,39375.0,814.0,3304.0,2575.0,729.0,678.0,35.0,610.0,0.0,10.0
775,06037218110,Victoria Park,39335.0,1249.0,3120.0,1542.0,1578.0,1480.0,265.0,618.0,5.0,560.0
605,06037203100,Boyle Heights,39329.0,1248.0,4688.0,4339.0,349.0,319.0,92.0,79.0,8.0,121.0
925,06037237710,Vermont Knolls,39288.0,1093.0,3992.0,2916.0,1076.0,1014.0,38.0,920.0,7.0,23.0
645,06037207303,Downtown,39113.0,1610.0,2311.0,379.0,1932.0,1784.0,861.0,290.0,3.0,602.0
618,06037204200,Boyle Heights,38919.0,988.0,3393.0,3123.0,270.0,254.0,92.0,56.0,3.0,94.0
891,06037232800,South Park,38897.0,933.0,4034.0,3328.0,706.0,659.0,46.0,538.0,11.0,24.0
587,06037199700,Wholesale District,38892.0,1204.0,3393.0,2193.0,1200.0,1132.0,519.0,95.0,7.0,479.0
280,06037128303,Van Nuys,38880.0,1162.0,3876.0,2985.0,891.0,812.0,472.0,111.0,3.0,203.0
637,06037206201,Little Tokyo,38786.0,1240.0,2647.0,664.0,1983.0,1860.0,599.0,431.0,25.0,772.0
916,06037237101,Harvard Park,38750.0,992.0,4144.0,3049.0,1095.0,1005.0,44.0,889.0,6.0,47.0
931,06037238200,Vermont Knolls,38557.0,2111.0,5848.0,1828.0,4020.0,3822.0,103.0,3590.0,17.0,42.0
506,06037190303,Hollywood,38553.0,1754.0,2470.0,647.0,1823.0,1718.0,1308.0,142.0,3.0,250.0
957,06037240401,Vermont Vista,38536.0,1591.0,5493.0,4045.0,1448.0,1401.0,56.0,1266.0,8.0,49.0
167,06037120030,Panorama City,38466.0,705.0,2591.0,2246.0,345.0,328.0,170.0,27.0,6.0,104.0
837,06037226410,Central,38438.0,872.0,3456.0,3279.0,177.0,165.0,34.0,88.0,2.0,33.0
262,06037127520,Van Nuys,38333.0,1422.0,4226.0,3189.0,1037.0,970.0,364.0,251.0,10.0,320.0
648,06037207306,Downtown,38305.0,1345.0,2227.0,457.0,1770.0,1626.0,818.0,466.0,12.0,312.0
777,06037218210,St Elmo Village,38207.0,1190.0,3951.0,2852.0,1099.0,1016.0,303.0,477.0,14.0,169.0
173,06037120108,Panorama City,38194.0,1407.0,5263.0,3978.0,1285.0,1246.0,412.0,227.0,8.0,565.0
735,06037213202,Koreatown,38147.0,1323.0,3679.0,2102.0,1577.0,1523.0,155.0,200.0,6.0,1150.0
1157,06037294900,Wilmington,37974.0,943.0,3871.0,3428.0,443.0,422.0,98.0,237.0,20.0,26.0
797,06037220000,Crenshaw District,37805.0,2114.0,5420.0,2552.0,2868.0,2682.0,562.0,1831.0,10.0,228.0
196,06037122410,North Hollywood,37634.0,1137.0,3824.0,2897.0,927.0,875.0,383.0,230.0,3.0,239.0
917,06037237102,Harvard Park,37500.0,1008.0,3625.0,2732.0,893.0,846.0,36.0,731.0,14.0,14.0
945,06037239602,Florence-Firestone,37500.0,910.0,3487.0,2788.0,699.0,668.0,30.0,591.0,11.0,16.0
722,06037212306,Koreatown,37466.0,1138.0,2793.0,1150.0,1643.0,1600.0,186.0,82.0,8.0,1311.0
659,06037208002,Temple-Beaudry,37443.0,1321.0,4113.0,3120.0,993.0,921.0,404.0,199.0,4.0,293.0
686,06037209402,Westlake,37388.0,1191.0,4056.0,3480.0,576.0,543.0,181.0,168.0,4.0,165.0
712,06037211921,Little Bangladesh,37375.0,925.0,2447.0,1073.0,1374.0,1317.0,169.0,92.0,0.0,1032.0
1164,06037296500,San Pedro,37311.0,1204.0,3796.0,2710.0,1086.0,989.0,482.0,293.0,22.0,143.0
590,06037199900,Lincoln Heights,37232.0,845.0,2641.0,2025.0,616.0,597.0,76.0,57.0,0.0,447.0
1155,06037294820,Wilmington,37222.0,928.0,3346.0,3085.0,261.0,229.0,90.0,107.0,6.0,11.0
959,06037240500,Vermont Vista,37157.0,1726.0,6505.0,4327.0,2178.0,2034.0,128.0,1819.0,29.0,19.0
836,06037226002,Wholesale District,37147.0,1157.0,3587.0,1264.0,2323.0,2188.0,1041.0,832.0,26.0,251.0
681,06037209106,Westlake,37067.0,1152.0,2632.0,1203.0,1429.0,1356.0,292.0,278.0,7.0,761.0
716,06037212202,Wilshire Center,36920.0,1281.0,3364.0,2384.0,980.0,948.0,166.0,151.0,4.0,608.0
172,06037120107,Panorama City,36915.0,1126.0,3760.0,3185.0,575.0,551.0,212.0,115.0,2.0,191.0
850,06037228500,South Park,36842.0,1166.0,5376.0,4756.0,620.0,599.0,83.0,420.0,14.0,18.0
170,06037120105,Panorama City,36703.0,861.0,2855.0,2010.0,845.0,817.0,270.0,74.0,8.0,445.0
935,06037239201,Florence-Firestone,36687.0,846.0,3819.0,3167.0,652.0,615.0,72.0,475.0,0.0,15.0
936,06037239201,Harvard Park,36687.0,846.0,3819.0,3167.0,652.0,615.0,72.0,475.0,0.0,15.0
824,06037224010,Pico-Union,36604.0,1558.0,3621.0,1783.0,1838.0,1728.0,590.0,691.0,17.0,375.0
823,06037224010,Downtown,36604.0,1558.0,3621.0,1783.0,1838.0,1728.0,590.0,691.0,17.0,375.0
691,06037209820,Pico-Union,36500.0,780.0,2732.0,2283.0,449.0,420.0,109.0,102.0,4.0,186.0
878,06037232110,West Vernon,36423.0,816.0,3336.0,2636.0,700.0,640.0,63.0,520.0,4.0,9.0
738,06037213401,Pico-Union,36333.0,1662.0,4806.0,3361.0,1445.0,1393.0,151.0,111.0,5.0,1096.0
807,06037221402,West Adams,36289.0,945.0,2700.0,1426.0,1274.0,1185.0,265.0,502.0,6.0,372.0
844,06037228210,Central,36214.0,1038.0,3770.0,3344.0,426.0,399.0,42.0,295.0,3.0,51.0
683,06037209202,Westlake,36188.0,568.0,1234.0,813.0,421.0,399.0,100.0,87.0,6.0,192.0
511,06037190701,Hollywood,36183.0,929.0,1867.0,544.0,1323.0,1226.0,831.0,169.0,10.0,198.0
827,06037224200,Pico-Union,36071.0,796.0,2385.0,2101.0,284.0,258.0,86.0,97.0,1.0,71.0
1153,06037294701,Wilmington,36014.0,980.0,3110.0,2715.0,395.0,345.0,142.0,125.0,8.0,53.0
277,06037128210,Van Nuys,35969.0,1549.0,4809.0,3483.0,1326.0,1226.0,704.0,295.0,10.0,185.0
734,06037213201,Koreatown,35829.0,1631.0,4330.0,1823.0,2507.0,2425.0,193.0,158.0,10.0,2038.0
949,06037239702,Vermont Vista,35809.0,1164.0,4224.0,3025.0,1199.0,1152.0,68.0,1041.0,10.0,15.0
948,06037239702,Florence-Firestone,35809.0,1164.0,4224.0,3025.0,1199.0,1152.0,68.0,1041.0,10.0,15.0
632,06037206050,Wholesale District,35795.0,821.0,2312.0,1724.0,588.0,547.0,127.0,116.0,2.0,280.0
926,06037237720,Vermont Knolls,35488.0,883.0,3470.0,2641.0,829.0,768.0,35.0,688.0,2.0,6.0
876,06037231901,South Park,35417.0,789.0,2741.0,2244.0,497.0,461.0,39.0,379.0,1.0,20.0
171,06037120106,Panorama City,35400.0,1293.0,4377.0,3344.0,1033.0,1005.0,196.0,101.0,4.0,682.0
689,06037209520,Pico-Union,35395.0,946.0,2648.0,2144.0,504.0,473.0,121.0,107.0,5.0,223.0
875,06037231800,South Park,35321.0,1447.0,5253.0,4459.0,794.0,740.0,99.0,589.0,0.0,18.0
675,06037208902,Westlake,35313.0,658.0,2570.0,2274.0,296.0,273.0,65.0,44.0,3.0,152.0
168,06037120103,Panorama City,35263.0,862.0,3123.0,2849.0,274.0,251.0,117.0,37.0,0.0,89.0
889,06037232702,South Park,35114.0,1011.0,3932.0,2890.0,1042.0,990.0,58.0,867.0,2.0,34.0
890,06037232702,West Vernon,35114.0,1011.0,3932.0,2890.0,1042.0,990.0,58.0,867.0,2.0,34.0
887,06037232602,West Vernon,35052.0,1321.0,4540.0,3497.0,1043.0,956.0,95.0,810.0,6.0,16.0
871,06037231603,West Vernon,35048.0,828.0,2737.0,2113.0,624.0,588.0,46.0,463.0,7.0,45.0
156,06037119340,Panorama City,34825.0,1050.0,3600.0,3260.0,340.0,314.0,108.0,87.0,4.0,103.0
804,06037221303,Harvard Heights,34643.0,728.0,2384.0,1806.0,578.0,554.0,95.0,162.0,1.0,290.0
933,06037238320,Vermont Vista,34628.0,1073.0,3975.0,2682.0,1293.0,1222.0,44.0,1113.0,4.0,20.0
820,06037222600,Exposition Park,34493.0,1669.0,5141.0,2504.0,2637.0,2483.0,464.0,860.0,3.0,1113.0
835,06037226001,Wholesale District,34444.0,580.0,2632.0,1914.0,718.0,695.0,227.0,371.0,10.0,70.0
1122,06037277400,Westchester,34318.0,206.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
501,06037190101,Hollywood,34313.0,1245.0,1832.0,368.0,1464.0,1347.0,1002.0,168.0,0.0,150.0
799,06037221110,Pico-Union,34261.0,1071.0,3289.0,2838.0,451.0,424.0,102.0,87.0,3.0,217.0
519,06037191120,Little Armenia,34189.0,1637.0,3801.0,1905.0,1896.0,1792.0,1210.0,158.0,8.0,386.0
798,06037220100,Baldwin Hills,33944.0,1102.0,2437.0,817.0,1620.0,1501.0,260.0,1077.0,5.0,136.0
776,06037218120,Victoria Park,33902.0,1360.0,4250.0,2913.0,1337.0,1280.0,201.0,335.0,3.0,699.0
803,06037221302,Harvard Heights,33873.0,1266.0,4330.0,2958.0,1372.0,1298.0,269.0,505.0,9.0,480.0
245,06037125322,North Hollywood,33818.0,1352.0,2222.0,490.0,1732.0,1603.0,1090.0,324.0,0.0,173.0
946,06037239701,Florence-Firestone,33775.0,1131.0,4415.0,3396.0,1019.0,951.0,49.0,841.0,7.0,11.0
947,06037239701,Vermont Vista,33775.0,1131.0,4415.0,3396.0,1019.0,951.0,49.0,841.0,7.0,11.0
582,06037199120,Lincoln Heights,33750.0,1111.0,3777.0,2708.0,1069.0,1039.0,232.0,112.0,11.0,658.0
977,06037242201,Watts,33750.0,1006.0,3696.0,3236.0,460.0,447.0,22.0,404.0,1.0,14.0
205,06037123206,North Hollywood,33724.0,820.0,2857.0,2411.0,446.0,418.0,259.0,54.0,11.0,90.0
852,06037228710,Vernon Central,33704.0,1028.0,4245.0,3687.0,558.0,536.0,54.0,380.0,0.0,63.0
902,06037234901,Hyde Park,33699.0,1268.0,3103.0,1432.0,1671.0,1580.0,56.0,1458.0,12.0,33.0
622,06037204600,Boyle Heights,33587.0,1144.0,3740.0,3380.0,360.0,332.0,156.0,68.0,9.0,88.0
644,06037207103,Chinatown,33487.0,925.0,2099.0,380.0,1719.0,1678.0,172.0,106.0,3.0,1384.0
672,06037208720,Westlake,33458.0,1544.0,3810.0,2900.0,910.0,855.0,377.0,208.0,2.0,238.0
932,06037238310,Vermont Vista,33317.0,1407.0,5087.0,3677.0,1410.0,1337.0,49.0,1232.0,7.0,15.0
718,06037212204,Wilshire Center,33259.0,1294.0,3227.0,2288.0,939.0,884.0,178.0,199.0,3.0,482.0
701,06037211320,Wilshire Center,33247.0,1236.0,2899.0,1546.0,1353.0,1275.0,377.0,163.0,1.0,694.0
1160,06037296220,San Pedro,33232.0,1826.0,4449.0,2622.0,1827.0,1720.0,530.0,667.0,10.0,422.0
952,06037240010,Green Meadows,33144.0,987.0,3818.0,2909.0,909.0,855.0,32.0,783.0,4.0,20.0
55,06037106407,Sylmar,33125.0,839.0,2909.0,2303.0,606.0,590.0,272.0,200.0,7.0,90.0
531,06037191720,Melrose,33106.0,1254.0,3534.0,2484.0,1050.0,996.0,539.0,100.0,4.0,328.0
621,06037204420,Boyle Heights,32993.0,871.0,2870.0,2643.0,227.0,202.0,82.0,79.0,2.0,34.0
975,06037242000,Watts,32857.0,1124.0,4459.0,3135.0,1324.0,1242.0,39.0,1152.0,5.0,30.0
717,06037212203,Wilshire Center,32750.0,1626.0,3216.0,1703.0,1513.0,1449.0,305.0,162.0,11.0,960.0
826,06037224020,University Park,32713.0,895.0,3231.0,2124.0,1107.0,1040.0,410.0,370.0,6.0,220.0
825,06037224020,Downtown,32713.0,895.0,3231.0,2124.0,1107.0,1040.0,410.0,370.0,6.0,220.0
721,06037212305,Koreatown,32557.0,1007.0,2533.0,1700.0,833.0,788.0,190.0,136.0,5.0,450.0
833,06037224701,University Park,32500.0,264.0,2077.0,481.0,1596.0,1516.0,509.0,144.0,16.0,817.0
863,06037231210,Exposition Park,32454.0,1195.0,3793.0,2713.0,1080.0,973.0,111.0,741.0,4.0,94.0
912,06037236204,Baldwin Hills,32372.0,1239.0,3210.0,1352.0,1858.0,1755.0,111.0,1573.0,9.0,19.0
688,06037209510,Pico-Union,32361.0,995.0,2813.0,1801.0,1012.0,966.0,166.0,150.0,2.0,618.0
690,06037209810,Pico-Union,32321.0,737.0,2385.0,1719.0,666.0,633.0,217.0,135.0,1.0,262.0
872,06037231710,West Vernon,32301.0,1239.0,4311.0,3532.0,779.0,711.0,102.0,558.0,6.0,23.0
907,06037235202,Hyde Park,32083.0,1804.0,4765.0,1724.0,3041.0,2863.0,92.0,2662.0,12.0,55.0
979,06037242300,Watts,31875.0,1318.0,4958.0,3628.0,1330.0,1291.0,69.0,1159.0,13.0,13.0
1187,06037980010,Elysian Park,31875.0,60.0,144.0,33.0,111.0,103.0,41.0,6.0,1.0,51.0
715,06037212102,Little Bangladesh,31864.0,1248.0,2579.0,721.0,1858.0,1769.0,367.0,200.0,1.0,1178.0
31,06037104321,Pacoima,31645.0,983.0,3009.0,2763.0,246.0,236.0,55.0,84.0,13.0,79.0
503,06037190201,Hollywood,31403.0,1387.0,2872.0,877.0,1995.0,1856.0,1235.0,341.0,15.0,128.0
923,06037237500,Harvard Park,31311.0,789.0,2856.0,2230.0,626.0,583.0,50.0,509.0,1.0,3.0
862,06037231100,Exposition Park,31271.0,672.0,3148.0,2477.0,671.0,633.0,163.0,379.0,14.0,61.0
861,06037231100,Central,31271.0,672.0,3148.0,2477.0,671.0,633.0,163.0,379.0,14.0,61.0
720,06037212304,Koreatown,31197.0,737.0,1738.0,1015.0,723.0,667.0,245.0,109.0,12.0,279.0
685,06037209401,Westlake,30970.0,1555.0,4163.0,2813.0,1350.0,1285.0,293.0,346.0,8.0,619.0
692,06037210010,Pico-Union,30703.0,1224.0,3190.0,2444.0,746.0,716.0,130.0,106.0,4.0,463.0
166,06037120020,Panorama City,30669.0,1224.0,4037.0,2958.0,1079.0,1038.0,193.0,58.0,5.0,764.0
643,06037207102,Chinatown,30564.0,1386.0,3374.0,907.0,2467.0,2415.0,326.0,229.0,10.0,1833.0
684,06037209300,Westlake,30540.0,2166.0,4712.0,2872.0,1840.0,1727.0,582.0,355.0,17.0,739.0
529,06037191620,Melrose,30052.0,1080.0,2628.0,1583.0,1045.0,980.0,544.0,77.0,0.0,338.0
4,06037101222,Tujunga,30016.0,969.0,2808.0,1040.0,1768.0,1690.0,1455.0,76.0,3.0,148.0
830,06037224410,University Park,29894.0,1140.0,2906.0,1715.0,1191.0,1136.0,440.0,201.0,10.0,467.0
629,06037205120,Boyle Heights,29804.0,890.0,3858.0,3633.0,225.0,219.0,48.0,106.0,3.0,44.0
911,06037236203,Baldwin Hills,29676.0,1443.0,3743.0,1169.0,2574.0,2400.0,114.0,2142.0,8.0,71.0
808,06037221500,West Adams,29536.0,1095.0,3864.0,2607.0,1257.0,1157.0,156.0,748.0,6.0,214.0
864,06037231220,Exposition Park,29461.0,1430.0,3942.0,2647.0,1295.0,1216.0,122.0,731.0,9.0,325.0
521,06037191203,East Hollywood,29444.0,1056.0,2531.0,1127.0,1404.0,1323.0,773.0,122.0,9.0,412.0
1013,06037265303,Westwood,29375.0,1563.0,4012.0,627.0,3385.0,3139.0,1457.0,99.0,14.0,1527.0
678,06037209103,Westlake,29056.0,1105.0,3079.0,2751.0,328.0,300.0,90.0,122.0,13.0,53.0
391,06037139505,Encino,29054.0,1677.0,2565.0,423.0,2142.0,2006.0,1668.0,126.0,0.0,192.0
635,06037206053,Wholesale District,28693.0,1197.0,3261.0,2500.0,761.0,717.0,157.0,116.0,10.0,412.0
680,06037209105,Westlake,28156.0,1095.0,2665.0,2334.0,331.0,296.0,51.0,131.0,3.0,93.0
679,06037209104,Westlake,28088.0,962.0,2380.0,1826.0,554.0,492.0,149.0,174.0,4.0,155.0
855,06037228900,Vernon Central,27917.0,754.0,3420.0,2887.0,533.0,516.0,15.0,421.0,5.0,62.0
984,06037243100,Watts,27353.0,1457.0,5692.0,3949.0,1743.0,1697.0,114.0,1522.0,1.0,33.0
530,06037191710,Melrose,27254.0,1206.0,2576.0,1550.0,1026.0,969.0,565.0,134.0,5.0,241.0
737,06037213320,Koreatown,27127.0,1031.0,3006.0,1726.0,1280.0,1245.0,155.0,191.0,0.0,886.0
812,06037221810,University Park,26694.0,904.0,2746.0,1453.0,1293.0,1207.0,359.0,206.0,7.0,628.0
513,06037190801,Hollywood,26488.0,1217.0,2500.0,1103.0,1397.0,1311.0,910.0,152.0,4.0,229.0
806,06037221401,West Adams,25747.0,1159.0,3362.0,1441.0,1921.0,1833.0,243.0,1221.0,5.0,342.0
968,06037241120,Century Palms/Cove,25490.0,1302.0,4902.0,3566.0,1336.0,1271.0,53.0,1148.0,8.0,15.0
978,06037242202,Watts,25141.0,723.0,3387.0,2100.0,1287.0,1249.0,26.0,1197.0,4.0,11.0
909,06037236101,Baldwin Hills,24773.0,1320.0,2823.0,738.0,2085.0,1957.0,168.0,1411.0,6.0,342.0
903,06037234902,Hyde Park,24253.0,1843.0,4238.0,1953.0,2285.0,2145.0,153.0,1907.0,10.0,29.0
913,06037236205,Baldwin Hills,23882.0,1281.0,3403.0,1581.0,1822.0,1702.0,81.0,1561.0,7.0,13.0
831,06037224420,University Park,23210.0,883.0,2068.0,1597.0,471.0,441.0,155.0,162.0,5.0,109.0
677,06037208904,Westlake,22961.0,1393.0,3882.0,3187.0,695.0,676.0,146.0,132.0,17.0,337.0
687,06037209403,Westlake,22259.0,1507.0,3850.0,2594.0,1256.0,1202.0,222.0,285.0,18.0,647.0
976,06037242100,Watts,21992.0,755.0,2497.0,1616.0,881.0,849.0,15.0,820.0,0.0,7.0
1014,06037265304,Westwood,20343.0,857.0,3855.0,870.0,2985.0,2823.0,1371.0,169.0,7.0,1236.0
653,06037207502,Downtown,17989.0,2297.0,4113.0,695.0,3418.0,3272.0,918.0,535.0,10.0,1771.0
814,06037221900,University Park,17768.0,902.0,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
955,06037240301,Vermont Vista,17096.0,899.0,2831.0,2004.0,827.0,787.0,38.0,720.0,3.0,14.0
1016,06037265307,Westwood,16772.0,1145.0,3190.0,372.0,2818.0,2756.0,1136.0,182.0,7.0,1391.0
980,06037242600,Watts,16662.0,1381.0,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
829,06037224320,Pico-Union,16471.0,1155.0,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
1015,06037265306,Westwood,15417.0,496.0,2081.0,364.0,1717.0,1590.0,886.0,92.0,2.0,593.0
813,06037221820,University Park,13630.0,957.0,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
638,06037206202,Little Tokyo,12344.0,1195.0,3035.0,776.0,2259.0,2147.0,626.0,526.0,64.0,894.0
649,06037207307,Downtown,12283.0,1142.0,1160.0,221.0,939.0,837.0,360.0,335.0,7.0,113.0
646,06037207304,Downtown,11430.0,1698.0,2124.0,688.0,1436.0,1291.0,621.0,450.0,11.0,184.0
639,06037206301,Wholesale District,11153.0,1138.0,2074.0,539.0,1535.0,1420.0,366.0,924.0,42.0,53.0
834,06037224702,University Park,9722.0,714.0,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
640,06037206302,Wholesale District,7193.0,640.0,1375.0,431.0,944.0,882.0,288.0,491.0,22.0,66.0
641,06037206303,Wholesale District,4918.0,564.0,2858.0,1019.0,1839.0,1746.0,559.0,1043.0,56.0,48.0
125,06037115103,Northridge,,11.0,2345.0,1056.0,1289.0,1273.0,465.0,510.0,4.0,286.0
761,06037216301,Miracle Mile,,614.0,1374.0,173.0,1201.0,1126.0,947.0,56.0,0.0,114.0
821,06037222700,Exposition Park,,108.0,4704.0,784.0,3920.0,3822.0,1714.0,627.0,19.0,1442.0
822,06037222700,University Park,,108.0,4704.0,784.0,3920.0,3822.0,1714.0,627.0,19.0,1442.0
1012,06037265301,Westwood,,0.0,13527.0,2859.0,10668.0,10592.0,3611.0,927.0,82.0,5872.0
1089,06037273403,Venice,,1020.0,1564.0,207.0,1357.0,1286.0,1087.0,112.0,8.0,65.0
1185,06037980008,Van Nuys,,17.0,465.0,195.0,270.0,264.0,162.0,92.0,0.0,5.0
1186,06037980009,Los Feliz,,0.0,52.0,19.0,33.0,28.0,17.0,7.0,0.0,4.0
1188,06037980014,Wilmington,,11.0,150.0,39.0,111.0,101.0,88.0,5.0,1.0,7.0
1192,06037980020,Sun Valley,,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
1193,06037980021,Lakeview Terrace,,14.0,56.0,20.0,36.0,27.0,14.0,3.0,0.0,10.0
1194,06037980022,Granada Hills,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1195,06037980023,West Hills,,0.0,19.0,7.0,12.0,8.0,8.0,0.0,0.0,0.0
1197,06037980026,Angeles National Forest,,0.0,11.0,1.0,10.0,9.0,8.0,1.0,0.0,0.0
1198,06037980028,Westchester,,0.0,11.0,2.0,9.0,3.0,2.0,1.0,0.0,0.0
1199,06037980031,San Pedro,,22.0,1748.0,709.0,1039.0,1029.0,649.0,256.0,32.0,92.0
1200,06037980038,Baldwin Hills,,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1201,06037980039,Toluca Lake,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
