,tract,COMM,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
157,06037119341,Panorama City,50168.0,857.0,2867.0,1627.0,1240.0,1190.0,320.0,106.0,3.0,755.0
1121,06037277200,Westchester,50109.0,966.0,1969.0,542.0,1427.0,1299.0,467.0,563.0,3.0,229.0
660,06037208301,Temple-Beaudry,50054.0,579.0,1878.0,1683.0,195.0,184.0,72.0,27.0,0.0,75.0
731,06037212800,Country Club Park,50053.0,1465.0,4121.0,2006.0,2115.0,1960.0,553.0,315.0,8.0,1059.0
148,06037117530,North Hills,49886.0,1683.0,5888.0,4284.0,1604.0,1562.0,379.0,224.0,4.0,923.0
1152,06037294620,Wilmington,49880.0,1035.0,4034.0,3757.0,277.0,245.0,69.0,72.0,3.0,52.0
853,06037228720,Vernon Central,49875.0,1105.0,4394.0,3944.0,450.0,416.0,30.0,363.0,12.0,6.0
930,06037238100,Manchester Square,49847.0,2112.0,4683.0,1305.0,3378.0,3200.0,109.0,2968.0,17.0,38.0
1141,06037293307,Harbor City,49604.0,901.0,2460.0,1361.0,1099.0,1034.0,235.0,418.0,2.0,362.0
274,06037127920,Van Nuys,49604.0,1505.0,4212.0,2225.0,1987.0,1892.0,1502.0,121.0,5.0,230.0
244,06037125321,North Hollywood,49560.0,1527.0,3049.0,1045.0,2004.0,1827.0,1179.0,295.0,12.0,323.0
593,06037201200,El Sereno,49500.0,776.0,2362.0,1965.0,397.0,365.0,150.0,17.0,8.0,181.0
927,06037237800,Vermont Knolls,49455.0,1338.0,4335.0,2214.0,2121.0,2022.0,64.0,1864.0,8.0,43.0
586,06037199400,Mt. Washington,49449.0,1515.0,4470.0,3339.0,1131.0,1057.0,308.0,55.0,10.0,665.0
523,06037191301,East Hollywood,49405.0,952.0,2076.0,1028.0,1048.0,1002.0,486.0,95.0,0.0,416.0
625,06037204820,Boyle Heights,49375.0,517.0,2055.0,1958.0,97.0,82.0,32.0,4.0,4.0,26.0
974,06037241400,Century Palms/Cove,49375.0,933.0,3612.0,2430.0,1182.0,1126.0,56.0,1018.0,0.0,24.0
883,06037232401,West Vernon,49318.0,1108.0,3702.0,2445.0,1257.0,1174.0,74.0,987.0,9.0,56.0
885,06037232500,West Vernon,49293.0,1465.0,5066.0,3183.0,1883.0,1795.0,98.0,1591.0,10.0,40.0
944,06037239601,Florence-Firestone,49286.0,890.0,3631.0,2875.0,756.0,707.0,54.0,605.0,3.0,24.0
204,06037123205,North Hollywood,49280.0,755.0,2503.0,1920.0,583.0,554.0,376.0,78.0,1.0,88.0
507,06037190401,Thai Town,49132.0,1705.0,2857.0,610.0,2247.0,2116.0,1690.0,119.0,7.0,286.0
942,06037239501,Florence-Firestone,49085.0,970.0,3835.0,3012.0,823.0,781.0,31.0,694.0,3.0,25.0
1111,06037276102,Westchester,48905.0,1493.0,3310.0,663.0,2647.0,2406.0,752.0,1302.0,9.0,309.0
910,06037236102,Baldwin Hills,48796.0,1934.0,3141.0,477.0,2664.0,2485.0,141.0,2214.0,7.0,96.0
1166,06037296901,San Pedro,48750.0,1568.0,4148.0,2660.0,1488.0,1350.0,857.0,257.0,17.0,196.0
528,06037191610,Melrose,48750.0,1348.0,4271.0,2723.0,1548.0,1431.0,823.0,138.0,3.0,442.0
940,06037239320,Florence-Firestone,48716.0,802.0,3441.0,2942.0,499.0,469.0,26.0,397.0,15.0,14.0
214,06037123520,Valley Glen,48696.0,772.0,2669.0,1227.0,1442.0,1390.0,1137.0,78.0,6.0,143.0
613,06037203720,Boyle Heights,48684.0,988.0,3580.0,3301.0,279.0,248.0,101.0,56.0,5.0,66.0
951,06037239802,Florence-Firestone,48674.0,1313.0,5103.0,3920.0,1183.0,1128.0,58.0,1036.0,0.0,17.0
250,06037125501,North Hollywood,48647.0,1601.0,3249.0,843.0,2406.0,2259.0,1773.0,238.0,2.0,221.0
